N,n_x,n_trunc,mode,W_obs,statuses,H_shannon_bits,c_m,m_eff,runtime_sec,num_constraints,num_words,node_values
0.01,3,2,witness,0.4210890065069246,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",1.5530530324710135,7.492940515158995,8,830.2676015628967,"[780, 780, 780, 780, 780, 780, 780, 780]",127,"[-3.3642808197004705, -1.2698391283624662, -0.6195614799904147, -0.33376983459514514, -0.18828867749756217, -0.10517128604165821, -0.05113297185795644, -0.007843284642309115]"
0.12,3,2,witness,0.6199076430295297,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",1.3202141016860054,7.492940515158995,8,896.8703799629584,"[780, 780, 780, 780, 780, 780, 780, 780]",127,"[-3.369191970583894, -1.3012243421889294, -0.6712029694144475, -0.38660734546988385, -0.23142769906745242, -0.13509668524147, -0.06750337300794663, -0.010472028498966291]"
0.23,3,2,witness,0.7288815912251799,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",1.0949265040850003,7.492940515158995,8,884.1251058019698,"[780, 780, 780, 780, 780, 780, 780, 780]",127,"[-3.3758680950464885, -1.334936574671763, -0.7209527596222719, -0.43563385538248434, -0.2714230175038167, -0.16316908451429116, -0.083051306389886, -0.012979317942993486]"
0.34,3,2,witness,0.8084906888200756,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.8790991038298964,7.492940515158995,8,850.4491115589626,"[780, 780, 780, 780, 780, 780, 780, 780]",127,"[-3.3840701140641856, -1.3716758981344577, -0.7686878448908235, -0.48045546986303106, -0.30763991442860233, -0.1887189024263548, -0.09729598800665104, -0.015297279514993488]"
0.45,3,2,witness,0.8671899799732353,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.68076798013433,7.492940515158995,8,837.5877765989862,"[780, 780, 780, 780, 780, 780, 780, 780]",127,"[-3.3955501915331787, -1.409618419007574, -0.8119959581656958, -0.5191649360302268, -0.33853000333630084, -0.21051965695672484, -0.109513742242702, -0.017279627752262463]"
0.56,3,2,witness,0.9111891774076896,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.5038228886501757,7.492940515158995,8,833.2690722041298,"[780, 780, 780, 780, 780, 780, 780, 780]",127,"[-3.4109440759710927, -1.4468293096649039, -0.8494148242721596, -0.5512396635363065, -0.3638209293037938, -0.2283857884765184, -0.11956495824933745, -0.018918077034707038]"
0.67,3,2,witness,0.9442101757921063,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.34946651759266445,7.492940515158995,8,844.6189257900696,"[780, 780, 780, 780, 780, 780, 780, 780]",127,"[-3.4308304093705515, -1.4813727262339813, -0.8804487681235709, -0.5768301855753434, -0.3837705917873667, -0.2424984541693096, -0.1274999996732351, -0.020222862632972117]"
0.78,3,2,witness,0.9681328782217834,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.21822287135617405,7.492940515158995,8,845.2827254110016,"[780, 780, 780, 780, 780, 780, 780, 780]",127,"[-3.4550554703403646, -1.5114032411162706, -0.9049387750353493, -0.5964299418852264, -0.39893892058614505, -0.2531899105874174, -0.13354877723980776, -0.02121260701224025]"
0.89,3,2,witness,0.9844622226140315,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.11406631434549733,7.492940515158995,8,798.7480663231108,"[780, 780, 780, 780, 780, 780, 780, 780]",127,"[-3.4818547498406813, -1.5346330648271929, -0.9224715437652016, -0.610144436864242, -0.40948487370911546, -0.2606322639285004, -0.13775306546916027, -0.02190020240940413]"
1.0,3,2,witness,0.9942974511511095,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.04294066556063819,7.492940515158995,8,764.1054490308743,"[780, 780, 780, 780, 780, 780, 780, 780]",127,"[-3.5049830231849124, -1.5497189372375424, -0.9332600803851824, -0.6184587588174898, -0.4158515704671581, -0.26512014833522496, -0.14029116414429463, -0.022316167026552453]"
