N,n_x,n_b,n_trunc,p_obs,statuses,H_shannon_bits,c_m,m_eff,runtime_sec,num_constraints_per_node,num_words,node_values
0.09842105263157895,2,4,0,"[[0.055511464776167974, 0.20967311212718281, 0.3674077115483246, 0.36740771154832463], [0.36740771154832463, 0.3674077115483246, 0.20967311212718281, 0.055511464776167974]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.33390382701815186,7.492940515158995,8,144.61175750219263,"[634, 634, 634, 634, 634, 634, 634, 634]",56,"[-3.477630120123253, -1.4895581473894013, -0.872927962603342, -0.5663856794105722, -0.37425957239325824, -0.23534696122481888, -0.12338285214355023, -0.019545392852647465]"
0.11710526315789474,2,4,0,"[[0.046156199738277115, 0.20070102842236953, 0.37657138591967665, 0.3765713859196767], [0.3765713859196767, 0.37657138591967665, 0.20070102842236953, 0.046156199738277115]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.29116127651895385,7.492940515158995,8,144.43042935011908,"[634, 634, 634, 634, 634, 634, 634, 634]",56,"[-3.4804217788064746, -1.496373768931533, -0.8818886720952507, -0.5749431935528555, -0.3813444500464382, -0.24047887051454764, -0.1263047368343879, -0.020023767858553775]"
0.13578947368421052,2,4,0,"[[0.03860599702015005, 0.1919574685156752, 0.3847182672320874, 0.38471826723208735], [0.38471826723208735, 0.3847182672320874, 0.1919574685156752, 0.03860599702015005]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.251285727699034,7.492940515158995,8,143.69975576200522,"[634, 634, 634, 634, 634, 634, 634, 634]",56,"[-3.483472531217147, -1.5032092865897755, -0.8902949308033727, -0.5826713872554526, -0.38764789904957664, -0.24502216195274235, -0.12888831117151764, -0.020448279420376282]"
0.15447368421052632,2,4,0,"[[0.03243698726284455, 0.1834783589257007, 0.3920423269057274, 0.3920423269057274], [0.3920423269057274, 0.3920423269057274, 0.1834783589257007, 0.03243698726284455]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.2143156014050635,7.492940515158995,8,144.276299322024,"[634, 634, 634, 634, 634, 634, 634, 634]",56,"[-3.4866660648918653, -1.5100388856430986, -0.8980912474241639, -0.58959868749615, -0.3932268492401865, -0.24902306577288935, -0.13115975729501786, -0.020820355990560216]"
0.17315789473684212,2,4,0,"[[0.027350158871981, 0.17528520260205088, 0.3986823192629841, 0.39868231926298403], [0.3986823192629841, 0.39868231926298414, 0.1752852026020509, 0.027350158871981004]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.1802981505907677,7.492940515158995,8,143.59582880791277,"[634, 634, 634, 634, 634, 634, 634, 634]",56,"[-3.489909062340328, -1.516810853949783, -0.9052307108516138, -0.5957495122061699, -0.3981249590630369, -0.25252426936606537, -0.13314804790543583, -0.021144948885795097]"
0.1918421052631579,2,4,0,"[[0.023126160131693163, 0.1673900326104783, 0.40474190362891427, 0.40474190362891427], [0.40474190362891427, 0.40474190362891427, 0.1673900326104783, 0.023126160131693163]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.14926855881536868,7.492940515158995,8,144.12201196188107,"[634, 634, 634, 634, 634, 634, 634, 634]",56,"[-3.4931532264688503, -1.5234290294081485, -0.9116765622197944, -0.6011567228114296, -0.4023906046914969, -0.255565263523742, -0.13487283742134132, -0.021427709798823674]"
0.21052631578947367,2,4,0,"[[0.019599288081728672, 0.15979839086174213, 0.41030116052826465, 0.41030116052826454], [0.41030116052826454, 0.41030116052826465, 0.15979839086174213, 0.019599288081728672]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.12123205152965968,7.492940515158995,8,145.03015517396852,"[634, 634, 634, 634, 634, 634, 634, 634]",56,"[-3.4963905719623476, -1.529776957151396, -0.9174048159434519, -0.6058554211399438, -0.40607192966700234, -0.2581823049414485, -0.13635553774521553, -0.021670925078530155]"
0.22921052631578948,2,4,0,"[[0.01664151022536886, 0.15251124012544787, 0.41542362482459166, 0.4154236248245916], [0.41542362482459166, 0.4154236248245917, 0.1525112401254479, 0.016641510225368864]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.09618390333375387,7.492940515158995,8,144.84693163796328,"[634, 634, 634, 634, 634, 634, 634, 634]",56,"[-3.499636236137091, -1.53570921578015, -0.9224095190945389, -0.6098867687416425, -0.40920958849719524, -0.2604096551492431, -0.13761820579458944, -0.021877422630791406]"
0.24789473684210528,2,4,0,"[[0.014152131308738936, 0.14552625466314167, 0.42016080701405967, 0.42016080701405967], [0.42016080701405967, 0.42016080701405967, 0.14552625466314167, 0.014152131308738936]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.07410455168313375,7.492940515158995,8,146.2939222739078,"[634, 634, 634, 634, 634, 634, 634, 634]",56,"[-3.5028997553518844, -1.5410943853591847, -0.9266973520480412, -0.6132900774608241, -0.4118471014320203, -0.26227945508304484, -0.1386774087898282, -0.022050427951033832]"
0.266578947368421,2,4,0,"[[0.01205082722593831, 0.13883872626233246, 0.4245552232558646, 0.42455522325586464], [0.42455522325586464, 0.4245552232558646, 0.13883872626233246, 0.01205082722593831]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.054958358862535826,7.492940515158995,8,145.48477063607424,"[634, 634, 634, 634, 634, 634, 634, 634]",56,"[-3.506184409377205, -1.5458156245026413, -0.9302880666187414, -0.616108277591483, -0.4140232408955148, -0.2638187808432097, -0.13955000775772908, -0.022193748709935048]"
0.28526315789473683,2,4,0,"[[0.01027278543762955, 0.1324422200734789, 0.4286424972444458, 0.42864249724444575], [0.42864249724444575, 0.4286424972444458, 0.1324422200734789, 0.01027278543762955]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.03866538668459185,7.492940515158995,8,144.74203074211255,"[634, 634, 634, 634, 634, 634, 634, 634]",56,"[-3.5094820428194153, -1.5497997559715468, -0.9332140685035266, -0.618383244719896, -0.4157753561775127, -0.26505917148390573, -0.14025249295931416, -0.022308995839286107]"
0.30394736842105263,2,4,0,"[[0.008765216725232505, 0.1263290607934432, 0.4324528612406622, 0.4324528612406621], [0.4324528612406621, 0.4324528612406622, 0.1263290607934432, 0.008765216725232505]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.025134185784840828,7.492940515158995,8,143.70803555799648,"[634, 634, 634, 634, 634, 634, 634, 634]",56,"[-3.5127769486402887, -1.5530051131720384, -0.9355075733760766, -0.6201565941001423, -0.41713860434638883, -0.26602401267436643, -0.14079895350454585, -0.02239852956030714]"
0.32263157894736844,2,4,0,"[[0.007484790275443076, 0.12049069973633869, 0.4360122549941091, 0.4360122549941091], [0.4360122549941091, 0.4360122549941091, 0.12049069973633869, 0.007484790275443076]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.014281637558823435,7.492940515158995,8,144.6181171350181,"[634, 634, 634, 634, 634, 634, 634, 634]",56,"[-3.5160100907490905, -1.5554276768730844, -0.9372077373339116, -0.6214651634500425, -0.4181446519628865, -0.26673572337662255, -0.14120301431606544, -0.022464819538468166]"
0.34131578947368424,2,4,0,"[[0.006395708678464618, 0.11491799579021211, 0.43934314776566163, 0.43934314776566163], [0.43934314776566163, 0.43934314776566163, 0.11491799579021211, 0.006395708678464618]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.006161027980978624,7.492940515158995,8,142.25460913893767,"[634, 634, 634, 634, 634, 634, 634, 634]",56,"[-3.518952348492836, -1.5570858829414542, -0.9383636030896598, -0.6223535929692048, -0.41882339627689574, -0.26721600802283096, -0.14147510869843638, -0.02250954668669907]"
0.36,2,4,0,"[[0.005468237657763608, 0.10960143256394467, 0.44246516488914583, 0.4424651648891459], [0.4424651648891459, 0.44246516488914583, 0.10960143256394467, 0.005468237657763608]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.0013818191741558628,7.492940515158995,8,142.25084780412726,"[634, 634, 634, 634, 634, 634, 634, 634]",56,"[-3.520830221666924, -1.5580226373619035, -0.9390112602562601, -0.6228477109870802, -0.419203340388413, -0.2674845757965056, -0.14162559246389134, -0.02253335706386167]"
0.005,2,8,0,"[[0.009875884116445133, 0.04479479527444957, 0.13712697186345396, 0.2519708907365089, 0.27811572900457127, 0.18441709685530688, 0.07342781527502706, 0.020270816874237207], [0.020270816874237207, 0.07342781527502706, 0.18441709685530688, 0.27811572900457127, 0.2519708907365089, 0.13712697186345396, 0.04479479527444957, 0.009875884116445133]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.6073961079397907,7.492940515158995,8,1224.0612901900895,"[2554, 2554, 2554, 2554, 2554, 2554, 2554, 2554]",92,"[-3.468133643204123, -1.4557577794301273, -0.8184372294459072, -0.507207199818987, -0.3221846298362538, -0.19670490332180354, -0.1012122674378172, -0.015906754724185637]"
0.02368421052631579,2,8,0,"[[0.0033139534774409007, 0.024586529046761618, 0.10555806018783981, 0.24566118909541362, 0.310440134096272, 0.21312451214703612, 0.07942464063144572, 0.017890981317790156], [0.017890981317790156, 0.07942464063144572, 0.21312451214703612, 0.310440134096272, 0.24566118909541362, 0.10555806018783981, 0.024586529046761618, 0.0033139534774409007]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.5691733980076562,7.492940515158995,8,1220.1344355670735,"[2554, 2554, 2554, 2554, 2554, 2554, 2554, 2554]",92,"[-3.468342568189805, -1.4598464173672756, -0.8260636378643657, -0.5158238579712275, -0.3299724990692027, -0.20260352215947752, -0.1046410809767829, -0.016473533553202767]"
0.042368421052631576,2,8,0,"[[0.0015005364845763205, 0.01568707117470242, 0.08598893704881207, 0.2371134479501048, 0.3298550036709023, 0.23172819005560905, 0.08212175936375067, 0.016005054251542476], [0.016005054251542476, 0.08212175936375067, 0.23172819005560905, 0.3298550036709023, 0.2371134479501048, 0.08598893704881207, 0.01568707117470242, 0.0015005364845763205]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.5200943665369133,7.492940515158995,8,1226.4548975308426,"[2554, 2554, 2554, 2554, 2554, 2554, 2554, 2554]",92,"[-3.469444720464528, -1.4656602085549666, -0.8358363762782731, -0.5266436462031777, -0.3395793065886757, -0.2097700114565278, -0.10876179009238533, -0.017150088983547765]"
0.061052631578947365,2,8,0,"[[0.0007474364032122871, 0.010501852695760039, 0.07131769790842585, 0.22802373991846714, 0.34470463653706734, 0.24678387292498338, 0.08356131631963826, 0.014359447292445704], [0.014359447292445704, 0.08356131631963826, 0.24678387292498338, 0.34470463653706734, 0.22802373991846714, 0.07131769790842585, 0.010501852695760039, 0.0007474364032122871]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.468571808953795,7.492940515158995,8,1224.1335905708838,"[2554, 2554, 2554, 2554, 2554, 2554, 2554, 2554]",92,"[-3.471346502671786, -1.472192230490023, -0.8460368132904186, -0.5377223418624397, -0.3493406557742626, -0.2169995279702383, -0.11290250185872978, -0.017828132287302435]"
