N,n_x,n_b,n_trunc,p_obs,pg,status,H_min_bits,runtime_sec,num_constraints,num_blocks,num_words_per_block
0.17315789473684212,2,4,0,"[[0.027350158871981, 0.17528520260205088, 0.3986823192629841, 0.39868231926298403], [0.3986823192629841, 0.39868231926298414, 0.1752852026020509, 0.027350158871981004]]",0.9672536283602616,optimal,0.048033859373393294,5.881321352906525,291,4,72
0.1918421052631579,2,4,0,"[[0.023126160131693163, 0.1673900326104783, 0.40474190362891427, 0.40474190362891427], [0.40474190362891427, 0.40474190362891427, 0.1673900326104783, 0.023126160131693163]]",0.9741086869401521,optimal,0.037845343769085445,5.820139860035852,291,4,72
0.21052631578947367,2,4,0,"[[0.019599288081728672, 0.15979839086174213, 0.41030116052826465, 0.41030116052826454], [0.41030116052826454, 0.41030116052826465, 0.15979839086174213, 0.019599288081728672]]",0.9799033974975805,optimal,0.029288564864268007,5.852422428084537,291,4,72
0.22921052631578948,2,4,0,"[[0.01664151022536886, 0.15251124012544787, 0.41542362482459166, 0.4154236248245916], [0.41542362482459166, 0.4154236248245917, 0.1525112401254479, 0.016641510225368864]]",0.984765867029551,optimal,0.02214733745228042,5.889502909034491,291,4,72
0.24789473684210528,2,4,0,"[[0.014152131308738936, 0.14552625466314167, 0.42016080701405967, 0.42016080701405967], [0.42016080701405967, 0.42016080701405967, 0.14552625466314167, 0.014152131308738936]]",0.9888014402210856,optimal,0.016247250311837748,5.894165143137798,291,4,72
0.266578947368421,2,4,0,"[[0.01205082722593831, 0.13883872626233246, 0.4245552232558646, 0.42455522325586464], [0.42455522325586464, 0.4245552232558646, 0.13883872626233246, 0.01205082722593831]]",0.9920987113952567,optimal,0.011444422505619204,5.848291705129668,291,4,72
0.28526315789473683,2,4,0,"[[0.01027278543762955, 0.1324422200734789, 0.4286424972444458, 0.42864249724444575], [0.42864249724444575, 0.4286424972444458, 0.1324422200734789, 0.01027278543762955]]",0.9947355569261068,optimal,0.007615048042841941,5.888871068134904,291,4,72
0.30394736842105263,2,4,0,"[[0.008765216725232505, 0.1263290607934432, 0.4324528612406622, 0.4324528612406621], [0.4324528612406621, 0.4324528612406622, 0.1263290607934432, 0.008765216725232505]]",0.9967734186190891,optimal,0.004662498975034062,5.869527638889849,291,4,72
0.32263157894736844,2,4,0,"[[0.007484790275443076, 0.12049069973633869, 0.4360122549941091, 0.4360122549941091], [0.4360122549941091, 0.4360122549941091, 0.12049069973633869, 0.007484790275443076]]",0.9982715091772154,optimal,0.002495842780860362,5.8660353270825,291,4,72
0.34131578947368424,2,4,0,"[[0.006395708678464618, 0.11491799579021211, 0.43934314776566163, 0.43934314776566163], [0.43934314776566163, 0.43934314776566163, 0.11491799579021211, 0.006395708678464618]]",0.9992794058009103,optimal,0.0010399724215843138,6.039367208024487,291,4,72
